message_id,channel_name,image_path,detected_objects_count,detected_classes,top_detected_class,top_confidence,image_category,all_confidences
21139,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21139.jpg,0,,,0.0,other,{}
22430,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22430.jpg,1,39,bottle,0.8006822466850281,product_display,{39: 0.8006822466850281}
22356,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22356.jpg,25,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39",bottle,0.6552401185035706,product_display,{39: 0.2851354479789734}
21887,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21887.jpg,0,,,0.0,other,{}
22801,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22801.jpg,0,,,0.0,other,{}
20970,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20970.jpg,3,"41,60,41",cup,0.41193896532058716,product_display,"{41: 0.28171512484550476, 60: 0.32070791721343994}"
20964,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20964.jpg,0,,,0.0,other,{}
22815,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22815.jpg,1,39,bottle,0.5791810154914856,product_display,{39: 0.5791810154914856}
22183,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22183.jpg,0,,,0.0,other,{}
22197,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22197.jpg,0,,,0.0,other,{}
20958,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20958.jpg,1,72,refrigerator,0.4999719262123108,other,{72: 0.4999719262123108}
22829,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22829.jpg,0,,,0.0,other,{}
21313,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21313.jpg,0,,,0.0,other,{}
21475,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21475.jpg,1,77,teddy bear,0.3179375231266022,other,{77: 0.3179375231266022}
22168,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22168.jpg,0,,,0.0,other,{}
21461,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21461.jpg,1,67,cell phone,0.31957992911338806,other,{67: 0.31957992911338806}
21307,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21307.jpg,0,,,0.0,other,{}
22626,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22626.jpg,1,39,bottle,0.5016928315162659,product_display,{39: 0.5016928315162659}
22140,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22140.jpg,2,"39,73",bottle,0.3064383268356323,product_display,"{39: 0.3064383268356323, 73: 0.2673894762992859}"
20757,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20757.jpg,0,,,0.0,other,{}
21449,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21449.jpg,1,39,bottle,0.6994184255599976,product_display,{39: 0.6994184255599976}
20743,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20743.jpg,0,,,0.0,other,{}
22154,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22154.jpg,0,,,0.0,other,{}
22632,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22632.jpg,0,,,0.0,other,{}
20804,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20804.jpg,0,,,0.0,other,{}
20810,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20810.jpg,0,,,0.0,other,{}
22791,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22791.jpg,1,67,cell phone,0.4634685218334198,other,{67: 0.4634685218334198}
21298,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21298.jpg,2,"39,41",bottle,0.5629428029060364,product_display,"{39: 0.5629428029060364, 41: 0.3724503219127655}"
20838,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20838.jpg,0,,,0.0,other,{}
22785,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22785.jpg,1,73,book,0.2937234044075012,other,{73: 0.2937234044075012}
21267,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21267.jpg,0,,,0.0,other,{}
21501,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21501.jpg,0,,,0.0,other,{}
22008,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22008.jpg,0,,,0.0,other,{}
21515,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21515.jpg,1,72,refrigerator,0.281098872423172,other,{72: 0.281098872423172}
21273,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21273.jpg,1,39,bottle,0.5707811713218689,product_display,{39: 0.5707811713218689}
22752,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22752.jpg,0,,,0.0,other,{}
22034,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22034.jpg,2,"0,72",person,0.8406550288200378,lifestyle,"{0: 0.8406550288200378, 72: 0.682590901851654}"
20623,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20623.jpg,1,39,bottle,0.7326310276985168,product_display,{39: 0.7326310276985168}
20637,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20637.jpg,1,73,book,0.32564425468444824,other,{73: 0.32564425468444824}
22020,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22020.jpg,0,,,0.0,other,{}
22746,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22746.jpg,1,39,bottle,0.8699764609336853,product_display,{39: 0.8699764609336853}
21918,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21918.jpg,2,"0,37",person,0.6241411566734314,lifestyle,"{0: 0.6241411566734314, 37: 0.36634331941604614}"
21924,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21924.jpg,2,"0,72",person,0.8406550288200378,lifestyle,"{0: 0.8406550288200378, 72: 0.682590901851654}"
22593,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22593.jpg,1,39,bottle,0.5707811713218689,product_display,{39: 0.5707811713218689}
22587,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22587.jpg,2,"39,60",bottle,0.9044641256332397,product_display,"{39: 0.9044641256332397, 60: 0.3380425274372101}"
21930,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21930.jpg,0,,,0.0,other,{}
21703,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21703.jpg,2,"39,41",bottle,0.4822787344455719,product_display,"{39: 0.4822787344455719, 41: 0.3975864350795746}"
21065,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21065.jpg,0,,,0.0,other,{}
22578,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22578.jpg,2,"39,39",bottle,0.9156716465950012,product_display,{39: 0.8188872933387756}
21071,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21071.jpg,1,67,cell phone,0.4634685218334198,other,{67: 0.4634685218334198}
21717,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21717.jpg,0,,,0.0,other,{}
22236,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22236.jpg,2,"0,72",person,0.8406550288200378,lifestyle,"{0: 0.8406550288200378, 72: 0.682590901851654}"
22550,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22550.jpg,4,"52,52,52,52",hot dog,0.5860720276832581,other,{52: 0.25144100189208984}
21059,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21059.jpg,2,"0,37",person,0.6241411566734314,lifestyle,"{0: 0.6241411566734314, 37: 0.36634331941604614}"
22544,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22544.jpg,0,,,0.0,other,{}
22222,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22222.jpg,0,,,0.0,other,{}
22545,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22545.jpg,0,,,0.0,other,{}
22223,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22223.jpg,0,,,0.0,other,{}
